,idUF,Mun,Est,Trab,Atv,Rend,idUFNum,Estado
320,43,00034,5,2,,,43,Rio Grande do Sul
321,43,00034,1,1,612,510.0,43,Rio Grande do Sul
322,43,00034,1,1,834,510.0,43,Rio Grande do Sul
323,43,00034,5,2,,,43,Rio Grande do Sul
324,43,00034,,,,,43,Rio Grande do Sul
325,43,00034,5,2,,,43,Rio Grande do Sul
326,43,00034,1,2,,,43,Rio Grande do Sul
327,43,00034,1,1,711,1400.0,43,Rio Grande do Sul
328,43,00034,,,,,43,Rio Grande do Sul
329,43,00034,,,,,43,Rio Grande do Sul
330,43,00034,5,2,,,43,Rio Grande do Sul
331,43,00034,1,1,612,9000.0,43,Rio Grande do Sul
332,43,00034,,,,,43,Rio Grande do Sul
333,43,00034,,,,,43,Rio Grande do Sul
334,43,00034,1,2,,,43,Rio Grande do Sul
335,43,00034,5,2,,,43,Rio Grande do Sul
336,43,00034,,,,,43,Rio Grande do Sul
337,43,00034,5,2,,,43,Rio Grande do Sul
338,43,00034,5,1,522,500.0,43,Rio Grande do Sul
339,43,00034,1,1,522,500.0,43,Rio Grande do Sul
340,43,00034,1,1,723,500.0,43,Rio Grande do Sul
341,43,00034,4,1,911,1000.0,43,Rio Grande do Sul
342,43,00034,5,1,911,1000.0,43,Rio Grande do Sul
343,43,00034,5,2,,,43,Rio Grande do Sul
344,43,00034,4,1,612,510.0,43,Rio Grande do Sul
345,43,00034,,,,,43,Rio Grande do Sul
346,43,00034,5,2,,,43,Rio Grande do Sul
347,43,00034,5,2,,,43,Rio Grande do Sul
348,43,00034,5,1,522,500.0,43,Rio Grande do Sul
349,43,00034,1,2,,,43,Rio Grande do Sul
350,43,00034,,,,,43,Rio Grande do Sul
351,43,00034,5,2,,,43,Rio Grande do Sul
352,43,00034,1,2,,,43,Rio Grande do Sul
353,43,00034,5,1,612,5000.0,43,Rio Grande do Sul
354,43,00034,5,2,,,43,Rio Grande do Sul
355,43,00034,5,2,,,43,Rio Grande do Sul
356,43,00034,5,2,,,43,Rio Grande do Sul
357,43,00034,5,2,,,43,Rio Grande do Sul
358,43,00034,5,1,921,500.0,43,Rio Grande do Sul
359,43,00034,5,1,000,500.0,43,Rio Grande do Sul
360,43,00034,5,1,522,500.0,43,Rio Grande do Sul
361,43,00034,5,2,,,43,Rio Grande do Sul
362,43,00034,5,1,612,500.0,43,Rio Grande do Sul
363,43,00034,3,2,,,43,Rio Grande do Sul
364,43,00034,5,1,921,300.0,43,Rio Grande do Sul
365,43,00034,1,1,612,15000.0,43,Rio Grande do Sul
366,43,00034,1,2,,,43,Rio Grande do Sul
367,43,00034,,,,,43,Rio Grande do Sul
368,43,00034,5,1,921,1000.0,43,Rio Grande do Sul
